country,nodes,emission_co2,fossil_fuel_generation_tWh,emission_intensity_co2_per_kwh,eletricity_cost,renewables_nuclear_generation,IDH,internet_access
Africa do Sul,30,68071135,190604000,0.70769,0.191,37750000,0.717,0.74703
Alemanha,1220,94950999,231497000,0.38095,0.365,273290000,0.95,0.924764
Australia,130,62949810,175737000,0.54869,0.273,99150000,0.946,0.948762
Austria,66,10191312,10392000,0.11081,0.36,56570000,0.926,0.953347
Belgica,34,10695520,21737000,0.13811,0.365,60660000,0.942,0.946263
Brasil,73,90003316,66183000,0.09835,0.154,647000000,0.76,0.841506
Bulgaria,31,7242189,13469000,0.33533,0.147,26520000,0.799,0.803896
Canada,362,90028820,126091000,0.17004,0.126,508810000,0.935,0.94
Coreia do Sul,82,102692568,378771000,0.43057,0.131,235420000,0.929,0.97416
Espanha,100,38007775,77877000,0.17405,0.226,191870000,0.911,0.954456
Estados Unidos,2114,796696875,2510339000,0.36947,0.184,1738710000,0.927,0.971299
Finlandia,352,7600768,4463000,0.07916,0.186,75380000,0.942,0.935139
Franca,538,58197252,43288000,0.05604,0.315,470820000,0.91,0.868364
Hong Kong,33,5114697,37644000,0.699,0.181,240000,0.956,0.956136
Irlanda,34,5987415,17701000,0.29081,0.439,13730000,0.95,0.955905
Italia,64,49837684,147780000,0.33072,0.457,114800000,0.906,0.870278
Japao,75,207262795,694558000,0.48539,0.221,318950000,0.92,0.849234
Lituania,30,1044724,1310000,0.16007,0.267,4250000,0.879,0.885029
Noruega,32,10797377,2242000,0.03008,0.172,151350000,0.966,0.99
Paises Baixos,328,15183245,59719000,0.26762,0.266,62430000,0.946,0.970068
Polonia,65,42693750,122934000,0.66193,0.241,45820000,0.881,0.864147
Reino Unido,245,46400769,117161000,0.23759,0.368,176330000,0.94,0.953412
Republica Tchequia,204,15403596,753110000,0.44972433,0.359,424360000,0.895,0.859941
Russia,97,245973483,54727000,0.44104,0.058,2600000,0.821,0.92245
Singapura,169,2929563,2911000,0.47078,0.254,163450000,0.949,0.942863
Suecia,110,10181232,1723000,0.04069,0.224,69170000,0.952,0.957033
Suica,63,7372560,34449000,0.03484,0.404,41730000,0.967,0.97344
Ucrania,40,22879655,30572000,0.26,0.064,72820000,0.734,0.792183
